user_id,date,time,category,merchant_name,amount
6664271e66cb1ac2237a0d57,6/8/2023,3:17 PM,food,Zomato,1218
6664271e66cb1ac2237a0d230,6/8/2023,5:40 AM,electricity,Adani Electricity,390
6664271e66cb1ac2237a0d628,6/8/2023,7:45 PM,movies,BookMyShow,3740
6664271e66cb1ac2237a0d1026,6/8/2023,7:58 PM,books,Amazon India,1751
6664271e66cb1ac2237a0d1034,6/8/2023,10:08 AM,mobile recharge,Paytm,3943
6664271e66cb1ac2237a0d242,6/9/2023,12:51 AM,movies,BookMyShow,5057
6664271e66cb1ac2237a0d468,6/9/2023,1:51 AM,groceries,BigBasket,594
6664271e66cb1ac2237a0d637,6/9/2023,10:06 PM,groceries,BigBasket,4633
6664271e66cb1ac2237a0d818,6/9/2023,2:22 AM,clothing,Myntra,7667
6664271e66cb1ac2237a0d671,6/10/2023,11:42 AM,movies,BookMyShow,2010
6664271e66cb1ac2237a0d86,6/12/2023,7:27 AM,food,Zomato,4238
6664271e66cb1ac2237a0d327,6/12/2023,11:34 PM,groceries,BigBasket,1540
6664271e66cb1ac2237a0d341,6/12/2023,11:46 PM,mobile recharge,Paytm,7152
6664271e66cb1ac2237a0d474,6/12/2023,6:25 PM,food,Zomato,9911
6664271e66cb1ac2237a0d547,6/12/2023,7:01 PM,movies,BookMyShow,8313
6664271e66cb1ac2237a0d581,6/12/2023,7:32 PM,electricity,Adani Electricity,2191
6664271e66cb1ac2237a0d717,6/12/2023,8:48 PM,electronics,Reliance Digital,1232
6664271e66cb1ac2237a0d304,6/13/2023,3:59 AM,groceries,BigBasket,8531
6664271e66cb1ac2237a0d640,6/13/2023,3:51 AM,electronics,Reliance Digital,9254
6664271e66cb1ac2237a0d745,6/13/2023,11:43 PM,electricity,Adani Electricity,4659
6664271e66cb1ac2237a0d1003,6/13/2023,2:29 AM,electronics,Reliance Digital,7800
6664271e66cb1ac2237a0d410,6/14/2023,1:01 PM,movies,BookMyShow,7369
6664271e66cb1ac2237a0d614,6/14/2023,3:36 PM,electronics,Reliance Digital,2755
6664271e66cb1ac2237a0d846,6/14/2023,6:54 PM,books,Amazon India,288
6664271e66cb1ac2237a0d66,6/15/2023,7:45 AM,mobile recharge,Paytm,6137
6664271e66cb1ac2237a0d612,6/15/2023,1:03 AM,movies,BookMyShow,9336
6664271e66cb1ac2237a0d825,6/15/2023,9:42 PM,food,Zomato,8182
6664271e66cb1ac2237a0d870,6/16/2023,12:37 AM,food,Zomato,784
6664271e66cb1ac2237a0d102,6/17/2023,5:53 PM,electronics,Reliance Digital,1210
6664271e66cb1ac2237a0d155,6/17/2023,11:34 PM,mobile recharge,Paytm,5166
6664271e66cb1ac2237a0d244,6/17/2023,4:36 AM,groceries,BigBasket,9738
6664271e66cb1ac2237a0d85,6/19/2023,7:40 AM,mobile recharge,Paytm,7600
6664271e66cb1ac2237a0d115,6/19/2023,5:22 PM,mobile recharge,Paytm,339
6664271e66cb1ac2237a0d353,6/19/2023,7:51 PM,electricity,Adani Electricity,4502
6664271e66cb1ac2237a0d534,6/19/2023,9:56 PM,food,Zomato,4665
6664271e66cb1ac2237a0d561,6/19/2023,12:17 PM,electronics,Reliance Digital,6351
6664271e66cb1ac2237a0d706,6/19/2023,9:06 AM,movies,BookMyShow,4583
6664271e66cb1ac2237a0d890,6/19/2023,5:16 AM,electronics,Reliance Digital,4971
6664271e66cb1ac2237a0d346,6/20/2023,8:29 AM,movies,BookMyShow,5067
6664271e66cb1ac2237a0d364,6/20/2023,5:35 AM,mobile recharge,Paytm,9250
6664271e66cb1ac2237a0d72,6/22/2023,8:44 PM,movies,BookMyShow,8511
6664271e66cb1ac2237a0d609,6/22/2023,1:04 AM,movies,BookMyShow,9527
6664271e66cb1ac2237a0d681,6/22/2023,4:01 PM,movies,BookMyShow,260
6664271e66cb1ac2237a0d158,6/23/2023,2:26 AM,mobile recharge,Paytm,6530
6664271e66cb1ac2237a0d249,6/23/2023,9:56 AM,electronics,Reliance Digital,4862
6664271e66cb1ac2237a0d383,6/24/2023,3:59 PM,food,Zomato,1606
6664271e66cb1ac2237a0d817,6/24/2023,5:40 AM,books,Amazon India,620
6664271e66cb1ac2237a0d856,6/24/2023,4:20 AM,clothing,Myntra,6010
6664271e66cb1ac2237a0d310,6/25/2023,2:59 AM,electronics,Reliance Digital,5999
6664271e66cb1ac2237a0d553,6/25/2023,3:39 AM,food,Zomato,2036
6664271e66cb1ac2237a0d707,6/25/2023,11:50 AM,mobile recharge,Paytm,7927
6664271e66cb1ac2237a0d834,6/25/2023,9:45 AM,electricity,Adani Electricity,7235
6664271e66cb1ac2237a0d399,6/26/2023,1:06 AM,movies,BookMyShow,356
6664271e66cb1ac2237a0d497,6/27/2023,6:27 AM,movies,BookMyShow,3708
6664271e66cb1ac2237a0d760,6/27/2023,3:05 AM,mobile recharge,Paytm,842
6664271e66cb1ac2237a0d1028,6/27/2023,10:44 AM,food,Zomato,8851
6664271e66cb1ac2237a0d196,6/28/2023,7:06 AM,books,Amazon India,7820
6664271e66cb1ac2237a0d952,6/28/2023,7:03 PM,groceries,BigBasket,4327
